generated_on,display_name,load_month,dlvd_price
2021-09-20 03:56:20.045,RBOB,Dec.21,-14.9
2021-09-20 03:56:20.045,RBOB,Jan.22,-17.25
2021-09-20 03:56:20.045,RBOB,Feb.22,-29.7
2021-09-20 03:56:20.045,RBOB,Sep.21,-8.55
2021-09-20 04:11:20.045,RBOB,Oct.21,-11.55
2021-09-20 04:11:20.045,RBOB,Nov.21,-12.55
2021-09-20 04:11:20.045,RBOB,Dec.21,-14.9
2021-09-20 04:11:20.045,RBOB,Jan.22,-17.3
2021-09-20 04:11:20.045,RBOB,Feb.22,-29.65
2021-09-20 04:11:20.045,RBOB,Sep.21,-8.55
2021-09-20 04:26:20.051,RBOB,Oct.21,-11.55
2021-09-20 04:26:20.051,RBOB,Nov.21,-12.55
2021-09-20 04:26:20.051,RBOB,Dec.21,-14.9
2021-09-20 04:26:20.051,RBOB,Jan.22,-17.3
2021-09-20 04:26:20.051,RBOB,Feb.22,-29.65
2021-09-20 04:26:20.051,RBOB,Sep.21,-8.6
2021-09-20 04:41:20.045,RBOB,Oct.21,-11.45
2021-09-20 04:41:20.045,RBOB,Nov.21,-12.45
2021-09-20 04:41:20.045,RBOB,Dec.21,-14.8
2021-09-20 04:41:20.045,RBOB,Jan.22,-17.2
2021-09-20 04:41:20.045,RBOB,Feb.22,-29.55
2021-09-20 04:41:20.045,RBOB,Sep.21,-8.45
2021-09-20 04:56:20.045,RBOB,Oct.21,-11.45
2021-09-20 04:56:20.045,RBOB,Nov.21,-12.45
2021-09-20 04:56:20.045,RBOB,Dec.21,-14.8
2021-09-20 04:56:20.045,RBOB,Jan.22,-17.2
2021-09-20 04:56:20.045,RBOB,Feb.22,-29.6
2021-09-20 04:56:20.045,RBOB,Sep.21,-8.45
2021-09-20 05:11:20.051,RBOB,Oct.21,-11.4
2021-09-20 05:11:20.051,RBOB,Nov.21,-12.45
2021-09-20 05:11:20.051,RBOB,Dec.21,-14.8
2021-09-20 05:11:20.051,RBOB,Jan.22,-17.2
2021-09-20 05:11:20.051,RBOB,Feb.22,-29.55
2021-09-20 05:11:20.051,RBOB,Sep.21,-8.4
2021-09-20 05:26:20.045,RBOB,Oct.21,-11.4
2021-09-20 05:26:20.045,RBOB,Nov.21,-12.45
2021-09-20 05:26:20.045,RBOB,Dec.21,-14.85
2021-09-20 05:26:20.045,RBOB,Jan.22,-17.2
2021-09-20 05:26:20.045,RBOB,Feb.22,-29.6
2021-09-20 05:26:20.045,RBOB,Sep.21,-4.0
2021-09-20 05:41:20.045,RBOB,Oct.21,-11.4
2021-09-20 05:41:20.045,RBOB,Nov.21,-12.45
2021-09-20 05:41:20.045,RBOB,Dec.21,-14.8
2021-09-20 05:41:20.045,RBOB,Jan.22,-17.2
2021-09-20 05:41:20.045,RBOB,Feb.22,-29.55
2021-09-20 05:41:20.045,RBOB,Sep.21,-8.45
2021-09-20 05:56:20.045,RBOB,Oct.21,-11.4
2021-09-20 05:56:20.045,RBOB,Nov.21,-12.4
2021-09-20 05:56:20.045,RBOB,Dec.21,-14.75
2021-09-20 05:56:20.045,RBOB,Jan.22,-17.15
2021-09-20 05:56:20.045,RBOB,Feb.22,-29.5
2021-09-20 05:56:20.045,RBOB,Sep.21,-8.45
2021-09-20 06:11:20.045,RBOB,Oct.21,-11.4
2021-09-20 06:11:20.045,RBOB,Nov.21,-12.4
2021-09-20 06:11:20.045,RBOB,Dec.21,-14.75
